name,cei_2021,cei_2020
Peter Kiewit Sons' Inc.,20,10
PetSmart Inc.,90,90
Pfizer Inc.,100,100
PG&E Corp.,100,100
Philip Morris International Inc.,80,55
Philips,100,90
Phillips 66,100,95
Pillsbury Winthrop Shaw Pittman LLP,100,100
PIMCO LLC,100,100
Pinnacle West Capital,75,70
Pinterest Inc.,100,100
Pioneer Natural Resources Company,20,0
Pitney Bowes Inc.,100,85
Plains GP Holdings,0,0
"PNC Financial Services Group Inc., The",100,100
PNM Resources Inc.,45,45
Polaris Industries Inc.,20,20
Polsinelli,100,100
Porter Wright Morris & Arthur LLP,90,90
Portland General Electric Co.,100,100
Post Holdings,20,
PPG Industries Inc.,90,90
PPL Corp.,100,100
PricewaterhouseCoopers LLP,100,100
Principal Financial Group,100,100
Procter & Gamble Co.,100,100
"Progressive Corp., The",85,80
PROS,95,95
Proskauer Rose LLP,100,100
Prudential Financial Inc.,100,100
PTC Inc,100,90
Public Service Enterprise Group,90,85
Publicis Healthcare Communications,100,100
Publicis Inc.,100,100
Publicis Media,100,100
Publicis Sapient,100,100
Publix Super Markets Inc.,0,0
PulteGroup Inc.,85,20
PVH Corp.,100,100
"Pyxus International, Inc.",30,30
"Quaintance-Weaver Management, LLC",100,100
Qualcomm Inc..,100,90
Quanta Services,20,20
Quantcast Corp.,100,100
Quarles & Brady LLP,100,100
Quest Diagnostics Inc.,100,100
Quinn Emanuel Urquhart & Sullivan LLP,100,100
Qurate Retail Group,100,100
R.R. Donnelley & Sons Co.,95,95
Rackspace Technology,100,100
Radian Group Inc.,60,30
Ralph Lauren Corp.,100,100
Ramboll US Corporation,80,
Randstad USA,100,90
Raymond James Financial Inc.,100,100
Raytheon Technologies Corp.,100,
RB,65,10
RBC Capital Markets LLC,100,100
RBC Wealth Management,100,100
Re/Max LLC,55,
Re:Sources USA Inc.,100,100
Realogy Holdings Corp.,90,90
Recreational Equipment Inc.,95,90
Red Hat Inc.,95,
Redfin Corp.,85,65
Reed Smith LLP,100,100
Regal Entertainment Group,60,60
Regeneron Pharmaceuticals,20,20
Regions Financial Corp.,100,100
Reinhart Boerner Van Deuren s.c.,95,95
Reinsurance Group of America Inc.,90,80
Reliance Steel & Aluminum Co.,20,0
Relias LLC,100,80
Replacements Ltd.,100,100
Republic Services Inc.,85,85
Restaurant Brands International,100,100
Retail Business Services,100,100
Reynolds American Inc.,100,100
RingCentral Inc.,100,100
Riot Games Inc.,95,
Rite Aid Corp.,50,50
Robert Bosch Corp.,90,95
Robert Half,100,100
Robert W. Baird & Co. Incorporated,100,100
Robins Kaplan LLP,100,100
Roche Diagnostics Corp.,100,100
Rockland Trust Co.,100,100
Rockwell Automation Inc.,100,100
Rolls-Royce North America (USA) Holdings Co.,100,100
Ropes & Gray LLP,100,100
Ross Stores Inc.,90,85
Royal Caribbean Cruises Ltd.,100,100
RSM US LLP,100,100
Ryder System Inc.,80,80
S&P Global Inc.,100,100
S.C. Johnson & Son Inc.,100,100
Saatchi & Saatchi North America Inc.,100,100
Sabre Holdings Inc.,50,50
Saint-Gobain Corp.,90,90
Saks Inc.,50,50
Salesforce,100,100
Sally Beauty Holdings Inc.,95,75
Samsung Electronics America Inc.,100,100
Sanderson Farms Inc.,50,40
Sanmina-SCI,20,20
Sanofi,100,100
SAP America Inc.,100,100
SAS,90,
Saul Ewing Arnstein & Lehr LLP,100,100
SBE,40,40
Schiff Hardin LLP,100,100
Schneider Electric,85,100
Scholastic Corp.,65,65
"Schulte, Roth & Zabel LLP",100,100
Science Applications International Corp.,100,100
Scotts Miracle-Gro Company,80,
Seaboard Corp.,0,0
Seacoast National Bank,100,100
Seagate Technology plc,100,100
Sealed Air Corp.,60,0
Securian Financial Group Inc.,90,85
Selective Insurance Group,40,40
Sempra Energy,100,100
Sephora,100,100
ServiceNow,100,
Seyfarth Shaw LLP,100,100
Shake Shack Inc.,100,100
Shearman & Sterling LLP,100,100
Shell Oil Co.,100,100
"Sheppard, Mullin, Richter & Hampton LLP",100,100
"Sherwin-Williams Co., The",95,95
SHI International Corp,30,30
"Shook, Hardy & Bacon LLP",100,100
Shutterstock Inc.,95,
Sidley Austin LLP,100,100
Siemens Corp.,100,100
Siemens Healthineers USA,100,100
Siemens Medical Solutions USA Inc.,100,100
Simon Property Group Inc.,20,20
Simpson Thacher & Bartlett LLP,100,100
SIRIUS XM + Pandora,100,100
"Skadden, Arps, Slate, Meagher & Flom LLP",100,100
SkyWest Inc.,70,70
Slalom,100,100
SLM Corp. (Sallie Mae),70,55
Snagajob.com Inc.,95,95
Snell & Wilmer,100,100
Société Générale,100,100
Sodexo Inc.,100,100
Softchoice Corp.,100,95
Software AG USA Inc.,45,40
Sonic Automotive Inc.,0,0
Sonoco Products Company,80,45
Sony Corporation of America,100,100
Sony Electronics Inc.,100,100
Sony Interactive Entertainment LLC,100,100
Sony Pictures Entertainment Inc.,100,100
"Southeastern Grocers, Inc.",85,
Southern Co.,100,100
Southwest Airlines Co.,100,100
SPARC Group LLC,100,90
SpartanNash,65,65
Spirit AeroSystems Inc.,85,95
Splunk Inc.,100,
Spotify USA Inc.,95,95
Squarespace,90,90
Squire Patton Boggs,100,100
Standard Chartered,100,100
Standard Insurance Co.,100,100
Stanley Black & Decker Inc.,100,100
Staples Inc.,100,100
Starbucks Corp.,100,100
State Farm Group,100,100
State Street Corp.,100,100
Steel Dynamics Inc.,55,55
Steelcase Inc.,100,100
Steptoe & Johnson LLP,100,100
Stinson LLP,100,100
Stoel Rives LLP,100,100
"Stop & Shop Supermarket Company, LLC, The",100,100
Stryker Corp.,100,100
Subaru of America Inc.,100,100
SUEZ Water Technologies and Solutions,80,
Sullivan & Cromwell LLP,85,85
Sumitomo Mitsui Banking Corporation,100,100
Sun Life,100,100
Sunrun Inc.,85,70
Supervalu Inc.,40,40
SurveyMonkey Inc.,55,
Synchrony,100,100
SYNNEX Corp.,95,95
SYSCO Corp.,80,70
T. Rowe Price Associates Inc.,100,100
Tailored Brands Inc.,95,95
Takeda Pharmaceuticals USA Inc.,100,100
Tapestry Inc.,100,100
Targa Resources Corp.,0,0
Target Corp.,100,100
TD Ameritrade,100,100
"TD Bank, N.A.",100,100
TD Securities (USA) LLC,100,100
"TDS Telecommunications, LLC",100,
TE Connectivity Inc.,100,100
Tech Data Corp.,100,100
TEGNA Inc.,100,100
TENET Healthcare Corporation,80,80
Tenneco Inc.,20,10
Teradata Corp.,90,
Tesla Inc.,100,100
Teva Pharmaceutical USA Inc.,100,100
Texas Instruments Inc.,100,100
Textron Inc.,60,30
Thermo Fisher Scientific Inc.,100,100
Thompson & Knight LLP,90,85
Thompson Coburn LLP,100,100
Thompson Hine LLP,100,100
Thomson Reuters,100,100
Thor Industries Inc.,20,0
Thrivent Financial,85,80
TIAA,100,100
Tiffany & Co.,100,100
"TJX Companies Inc., The",90,90
T-Mobile USA Inc.,100,100
"Toast, Inc.",65,
Toll Brothers Inc.,75,60
Toyota Motor North America Inc.,100,100
TPG Global LLC,100,100
Tractor Supply Company,70,0
Trane Technologies,90,
"Transamerica Corp., The",100,100
TransUnion,100,100
TravelCenters of America,10,10
"Travelers Companies Inc., The",100,100
Travelport Ltd.,75,50
TreeHouse Foods Inc.,20,20
TripAdvisor Inc.,100,100
Troutman Pepper Hamilton Sanders LLP,100,100
True Value Co. LLC,85,75
Truist Financial,100,100
Tufts Health Plan,100,100
Turner Construction Co.,100,100
Twitter Inc.,100,100
Tyson Foods Inc.,90,85
U.S. Bancorp,100,100
U.S. Cellular,100,100
Uber Technologies Inc.,100,100
UBS AG,100,100
UGI Corp.,10,20
UKG (Ultimate Kronos Group),100,90
"Ulta Salon, Cosmetics & Fragrance",20,20
Under Armour Inc.,100,100
Unilever,100,100
Union Pacific Corp.,95,95
Unisys Corp.,75,70
"United Airlines Holdings, Inc.",100,100
United Nations Federal Credit Union,80,
United Natural Foods Inc.,10,20
United Parcel Service Inc.,100,100
United Services Automobile Association,100,100
United States Steel Corp.,100,100
UnitedHealth Group Inc.,100,100
Univar Solutions Inc.,100,85
"Universal Health Services, Inc.",20,20
University of Phoenix,100,100
Univision Communications Inc.,100,100
Unum Group,100,100
UPMC Health Plan,100,100
Urban Outfitters Inc.,80,75
US Foods Inc.,75,30
USG Corp.,40,40
UW Credit Union,95,
Valero Energy Corp.,60,20
Vanguard Group Inc.,100,100
Veritas Technologies LLC,60,60
Veritiv,75,20
Verizon Communications Inc.,100,100
VERMEG SARL,100,100
Vertex Pharmaceuticals Inc.,100,100
VF Corp.,100,100
ViacomCBS,100,100
Vinson & Elkins LLP,100,100
Virgin Orbit,100,95
Visa,100,100
Vision Service Plan,40,40
Vistra Energy,20,20
Vivint Smart Home Inc.,90,85
Vizient Inc.,85,
VMLY&R,100,
VMware Inc.,100,100
Volkswagen Group of America Inc.,90,90
"Vorys, Sater, Seymour and Pease LLP",100,100
Vox Media Inc.,100,100
Voya Financial,100,100
W.R. Berkley,0,20
W.W. Grainger Inc.,100,100
Wabtec Corporation,85,
"Wachtell, Lipton, Rosen & Katz",90,90
Waddell & Reed Financial Inc.,100,95
Walgreen Co.,100,100
Walmart Inc.,100,100
"Walt Disney Co., The",100,100
Warby Parker,100,100
Warner Music Group,100,100
Washington Permanente Medical Group,95,95
Waste Management Inc.,80,90
Waters Corp.,95,
Wawa Inc.,100,100
Wayfair,100,85
WE Communications,100,100
"Weil, Gotshal & Manges LLP",100,100
WellCare Health Plans Inc.,100,100
Wellmark Inc.,100,100
Wells Fargo & Co.,100,100
"Wendy's Co., The",100,100
WESCO International Inc.,60,45
West Monroe Partners LLC,100,95
Western & Southern Financial Group,0,0
Western Digital Corp.,100,100
"Western Union Co., The",85,80
Westlake Chemical,20,20
WestRock,100,90
Weyerhaeuser Co.,85,95
Whirlpool Corp.,100,100
White & Case LLP,100,100
Wiley Rein LLP,100,100
William Blair & Company LLC,100,95
Williams & Connolly LLP,90,
Williams Companies Inc.,95,90
Williams Mullen Clark & Dobbins,100,100
Williams-Sonoma Inc.,90,90
Willis Towers Watson,100,100
Willkie Farr & Gallagher LLP,100,85
Wilmer Cutler Pickering Hale & Dorr LLP,100,100
Wilson Sonsini Goodrich & Rosati PC,100,100
Windstream Corp.,70,70
Winston & Strawn LLP,100,100
Wipro Ltd.,95,90
Womble Bond Dickinson (US) LLP,100,100
Wood,60,
Workday Inc.,100,100
World Fuel Services,20,20
"World Wide Technology, Inc.",75,
WPP Group USA,100,85
Wyndham Destinations,100,100
Wyndham Hotels & Resorts Inc.,100,100
Wynn Resorts Ltd.,90,90
Xcel Energy Inc.,100,100
Xerox Corp.,100,100
Xperi Holdings Corporation,85,
XPO Logistics,85,85
Xylem Inc.,100,100
Yelp Inc.,100,100
Yext Inc.,100,100
Young's Market Co.,75,75
Yum China Holdings,30,30
Yum! Brands Inc.,100,80
Zendesk Inc,100,100
ZenPayroll Inc. dba Gusto,90,
Zillow Group,100,100
Zoetis Inc.,100,
ZS Associates Inc.,100,100
Zurich North America,90,90
