name,cei_2021,cei_2020
Brownstein Hyatt Farber Schreck LLP,100,95
Bryan Cave Leighton Paisner LLP,100,100
"Buchalter, a Professional Corporation",95,
Buchanan Ingersoll & Rooney PC,100,100
Buckley LLP,100,100
Builders FirstSource Inc.,20,20
Burlington Stores Inc.,90,80
Burr & Forman LLP,90,90
Buzzfeed,100,100
C&S Wholesale Grocers Inc.,100,90
Cadence Design Systems,100,
"Cadwalader, Wickersham & Taft LLP",100,100
Caesars Entertainment Corp.,100,100
Cahill Gordon & Reindel,95,95
Caleres,95,95
Calpine Corp.,20,20
Cambia Health Solutions Inc.,100,100
Cambridge Associates LLC,100,
Campbell Soup Company,85,85
CannonDesign,80,
"Capgemini America, INC",100,100
"Capital Area Services Company, LLC (CASCI)",100,100
"Capital Group Companies Inc., The",100,100
"Capital Markets Company NV, The",100,100
Capital One Financial Corp.,100,100
Capri Holdings Limited,80,
Cardinal Health Inc.,100,100
CareFirst Inc.,100,100
CareSource,70,
Cargill Inc.,100,100
Cargo Transporters Inc.,100,100
Caribou Coffee Company Inc.,75,45
Carlson Inc.,100,100
Carlton Fields P.A.,100,100
"Carlyle Group LP, The",100,100
CarMax Inc.,100,100
Carnival Corp.,100,100
Carrier Global Corporation,100,
Casey's General Stores Inc.,0,0
Caterpillar Inc.,80,80
CBRE Inc.,100,100
CDW Corp.,100,100
Celanese Corp.,100,100
Celgene Corp.,100,100
Cengage Learning Inc.,100,90
Centene Corp.,100,100
CenterPoint Energy Inc.,65,20
Cerner Corp.,100,100
CGI,100,
Change Healthcare,90,90
Chapman and Cutler LLP,100,100
Charles Schwab & Co. Inc.,100,100
Charter Communications,90,90
Chemonics International Inc,100,65
"Chemours Company, The",80,80
Chesapeake Energy Corp.,70,70
Chevron Corp.,100,100
CHG Healthcare Inc.,85,85
Chico's FAS Inc.,75,75
Chipotle Mexican Grill Inc.,100,90
"Choate, Hall & Stewart LLP",100,100
Chobani,100,100
Choice Hotels International Inc.,100,100
CHS Inc.,20,20
Chubb Ltd.,100,100
CIBC Bank USA,60,60
CIGNA Corp.,100,100
Cimpress USA Inc,100,90
Cintas Corp.,20,20
Cisco Systems Inc.,100,100
CIT Group Inc.,100,100
Citigroup Inc.,100,100
Citizens Financial Group,100,100
Citrix Systems Inc.,100,100
Cleary Gottlieb Steen & Hamilton LLP,100,100
Clifford Chance US LLP,90,90
"Clorox Co., The",100,100
Cloudera Inc.,70,70
Cloudflare Inc,100,
CME Group Inc.,100,100
CNA Financial Corporation,100,100
CNO Financial Group Inc.,95,85
"Coca-Cola Co., The",100,100
Cognizant Technology Solutions Corp.,70,70
Coinbase Inc.,95,
Colgate-Palmolive Co.,100,100
Coloplast US,70,
Comcast NBCUniversal,100,100
Comerica Inc.,100,100
Commerce Bank,90,
Community Care Behavioral Health Organization,100,100
"Community Health Systems, Inc.",20,20
Compass Group USA Inc.,80,80
Conagra Brands Inc.,100,100
Conduent Inc.,80,80
ConocoPhillips,100,100
Consolidated Edison Co.,65,65
Constellation Brands Inc.,100,100
CONSUMER REPORTS INC.,75,75
Consumers Energy,90,75
Convergys Corp.,90,90
Cooley LLP,100,100
Cooper Tire & Rubber Co.,100,100
CooperCompanies,85,
CoreLogic,50,50
Core-Mark Holding Company Inc.,70,45
Cornerstone OnDemand Inc.,85,
Corning,90,90
Corteva Agriscience,100,100
"Cosmopolitan of Las Vegas, The",100,100
Costco Wholesale Corp.,60,60
Coty Inc.,85,20
Covington & Burling LLP,100,100
Cox Enterprises Inc.,100,100
Cozen O'Connor,100,100
Cracker Barrel Old Country Store Inc.,80,80
Crate and Barrel / CB2,75,80
"Cravath, Swaine & Moore LLP",90,90
Credit Suisse USA Inc.,100,100
CrowdStrike Inc.,100,
Crowell & Moring LLP,100,100
Crown Holdings,20,20
CSAA Insurance Group,100,100
CSX Corp.,80,80
Cubic Corporation,100,
Cummins Inc.,100,100
CUNA Mutual Group,100,100
Cushman & Wakefield,100,100
CVS Health Corp.,90,90
Daimler Trucks North America LLC,80,90
Dana Inc.,90,90
Danaher Corp.,100,100
Daniel J. Edelman Inc.,90,90
Danone North America,100,100
